# opt. SA-based monitor
# Formula: G∀x:w.(¬(s(x) ∧ (¬r(x) ∧ Fr(x))) ∨ (¬p(x) U r(x)))
# Trace-length: 10000
# Size-lookup-table: 81
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo
1	2	1	22	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
2	1	1	4	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
3	4	1	8	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
4	1	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
5	4	1	8	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
6	3	1	5	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
7	2	1	2	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
8	5	1	6	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
9	5	1	6	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
10	0	1	0	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
11	2	1	2	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
12	3	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
13	4	1	4	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
14	0	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
15	0	1	0	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
16	5	1	8	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
17	2	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
18	0	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
19	4	1	4	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
20	3	12	7	4	2	1	6	1.5	1.0	3.57	3	1	1	6	1.0	1.0	3.57	1	2	1	6	2.0	1.0	3.57
21	3	12	7	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
22	1	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
23	2	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
24	5	12	4	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
25	0	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
26	1	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
27	4	12	4	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
28	1	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
29	1	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
30	3	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
31	5	12	4	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
32	2	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
33	4	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
34	3	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
35	0	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
36	2	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
37	3	12	3	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
38	2	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
39	5	12	4	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
40	4	26	4	8	3	2	8	2.0	1.2	3.93	7	1	1	8	1.0	1.0	3.93	1	3	2	8	3.0	1.67	3.93
41	5	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
42	4	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
43	5	26	6	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
44	1	26	4	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
45	3	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
46	2	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
47	0	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
48	0	26	4	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
49	4	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
50	0	26	4	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
51	2	26	4	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
52	0	26	4	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
53	5	26	9	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
54	3	26	5	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
55	0	26	4	8	3	3	8	2.0	1.3	3.93	7	1	1	8	1.0	1.0	3.93	1	3	3	8	3.0	2.0	3.93
