# opt. SA-based monitor
# Formula: G∀x:w.(¬s(x) ∨ F(q(x) ∧ Fr(x)))
# Trace-length: 10000
# Size-lookup-table: 80
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo
1	3	1	13	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
2	1	1	2	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
3	4	1	5	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
4	1	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
5	4	1	4	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
6	4	1	4	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
7	3	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
8	3	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
9	5	1	6	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
10	0	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
11	1	1	2	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
12	3	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
13	4	1	4	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
14	3	1	2	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
15	1	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
16	2	1	2	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
17	1	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
18	0	1	0	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
19	4	1	3	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
20	3	9	5	3	2	1	4	1.5	1.0	2.67	2	1	1	4	1.0	1.0	2.67	1	2	1	4	2.0	1.0	2.67
21	2	6	5	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
22	5	6	7	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
23	2	6	4	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
24	5	6	5	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
25	2	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
26	3	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
27	1	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
28	3	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
29	4	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
30	2	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
31	4	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
32	3	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
33	3	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
34	1	6	1	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
35	4	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
36	5	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
37	5	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
38	4	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
39	5	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
40	4	20	2	6	3	2	8	2.0	1.25	3.15	5	1	1	8	1.0	1.0	3.15	1	3	2	8	3.0	1.67	3.15
41	1	20	3	6	3	3	8	2.0	1.38	3.15	5	1	1	8	1.0	1.0	3.15	1	3	3	8	3.0	2.0	3.15
42	3	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
43	3	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
44	3	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
45	2	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
46	5	17	4	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
47	3	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
48	3	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
49	4	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
50	0	17	2	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
51	1	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
52	3	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
53	2	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
54	0	17	2	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
55	4	17	3	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
56	0	17	2	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
57	0	17	1	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
58	1	17	2	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
59	0	17	2	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
60	5	34	4	10	4	3	10	2.5	1.38	3.57	9	1	1	10	1.0	1.0	3.57	1	4	3	10	4.0	2.25	3.57
61	5	34	6	10	4	4	10	2.5	1.46	3.57	9	1	1	10	1.0	1.0	3.57	1	4	4	10	4.0	2.5	3.57
62	1	34	5	10	4	4	10	2.5	1.46	3.57	9	1	1	10	1.0	1.0	3.57	1	4	4	10	4.0	2.5	3.57
63	5	31	6	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
64	3	31	5	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
65	4	31	5	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
66	1	31	4	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
67	1	31	4	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
68	4	31	5	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
69	2	31	4	9	4	4	8	2.5	1.5	3.3	8	1	1	8	1.0	1.0	3.3	1	4	4	8	4.0	2.5	3.3
70	4	28	5	8	4	4	6	2.5	1.55	3.0	7	1	1	6	1.0	1.0	3.0	1	4	4	6	4.0	2.5	3.0
71	2	28	4	8	4	4	6	2.5	1.55	3.0	7	1	1	6	1.0	1.0	3.0	1	4	4	6	4.0	2.5	3.0
72	3	28	4	8	4	4	6	2.5	1.55	3.0	7	1	1	6	1.0	1.0	3.0	1	4	4	6	4.0	2.5	3.0
73	1	28	3	8	4	4	6	2.5	1.55	3.0	7	1	1	6	1.0	1.0	3.0	1	4	4	6	4.0	2.5	3.0
