# SA-based monitor
# Formula: G∀x:w.(¬(s(x) ∧ (¬p(x) ∧ Fp(x))) ∨ (u(x) U p(x)))
# Trace-length: 10000
# Size-lookup-table: 52
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo
1	4	3	19	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
2	1	3	2	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
3	3	3	4	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
4	2	3	2	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
5	3	3	3	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
6	4	3	4	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
7	5	3	5	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
8	2	3	2	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
9	4	3	4	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
10	1	3	1	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
11	4	3	3	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
12	1	3	1	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
13	1	3	1	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
14	1	3	1	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
15	0	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
16	0	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
17	1	3	1	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
18	0	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
19	2	3	2	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
20	5	40	11	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
21	0	40	7	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
22	3	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
23	0	40	2	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
24	3	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
25	1	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
26	2	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
27	2	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
28	3	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
29	4	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
30	1	40	2	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
31	5	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
32	4	40	4	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
33	5	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
34	3	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
35	2	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
36	2	40	2	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
37	2	40	2	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
38	2	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
39	4	40	3	6	5	1	10	4.5	1.0	1.58	5	5	1	0	5.0	1.0	0.0	1	4	1	10	4.0	1.0	9.5
40	5	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
41	2	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
42	5	77	8	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
43	0	77	7	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
44	5	77	7	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
45	1	77	6	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
46	2	77	7	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
47	0	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
48	0	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
49	2	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
50	1	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
51	3	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
52	4	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
53	2	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
54	3	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
55	2	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
56	2	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
57	1	77	4	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
58	4	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
59	2	77	5	11	5	2	10	5.0	1.05	0.86	10	5	1	0	5.0	1.0	0.0	1	5	2	10	5.0	1.5	9.5
60	1	86	4	12	6	3	10	5.5	1.08	0.57	11	5	1	0	5.0	1.0	0.0	1	6	3	10	6.0	2.0	6.83
61	4	86	5	12	6	3	10	5.5	1.08	0.57	11	5	1	0	5.0	1.0	0.0	1	6	3	10	6.0	2.0	6.83
