# opt. SA-based monitor
# Formula: G∀x:w.(¬(q(x) ∧ ¬p(x)) ∨ (¬p(x) U ∃y:w.(t(x, y) ∧ ¬p(x))))
# Trace-length: 10000
# Size-lookup-table: 67
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo	L2#mons	L2M#rs	L2MLrs	L2MLobl	L2AV#rs	L2AVLrs	L2AVLo
1	1	1	13	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
2	4	9	47	3	2	1	4	1.5	1.0	2.67	0	0	0	0	0.0	0.0	0.0	2	1	1	4	1.0	1.0	2.67	1	2	1	4	2.0	1.0	2.67
3	5	14	85	4	3	2	4	2.0	1.33	2.09	0	0	0	0	0.0	0.0	0.0	3	1	1	4	1.0	1.0	2.09	1	3	2	4	3.0	1.67	2.09
4	1	19	9	5	4	3	4	2.5	1.63	1.88	0	0	0	0	0.0	0.0	0.0	4	1	1	4	1.0	1.0	1.88	1	4	3	4	4.0	2.25	1.88
5	2	19	12	5	4	4	4	2.5	1.75	1.88	0	0	0	0	0.0	0.0	0.0	4	1	1	4	1.0	1.0	1.88	1	4	4	4	4.0	2.5	1.88
6	0	19	4	5	4	4	4	2.5	1.75	1.88	0	0	0	0	0.0	0.0	0.0	4	1	1	4	1.0	1.0	1.88	1	4	4	4	4.0	2.5	1.88
7	2	24	12	6	5	4	4	3.0	1.9	1.76	0	0	0	0	0.0	0.0	0.0	5	1	1	4	1.0	1.0	1.76	1	5	4	4	5.0	2.8	1.76
8	2	24	13	6	5	5	4	3.0	2.0	1.76	0	0	0	0	0.0	0.0	0.0	5	1	1	4	1.0	1.0	1.76	1	5	5	4	5.0	3.0	1.76
9	1	29	9	7	6	5	4	3.5	2.17	1.69	0	0	0	0	0.0	0.0	0.0	6	1	1	4	1.0	1.0	1.69	1	6	5	4	6.0	3.33	1.69
10	1	29	12	7	6	6	4	3.5	2.25	1.69	0	0	0	0	0.0	0.0	0.0	6	1	1	4	1.0	1.0	1.69	1	6	6	4	6.0	3.5	1.69
11	1	29	10	7	6	6	4	3.5	2.25	1.69	0	0	0	0	0.0	0.0	0.0	6	1	1	4	1.0	1.0	1.69	1	6	6	4	6.0	3.5	1.69
12	2	37	16	9	7	6	4	4.0	2.33	1.88	0	0	0	0	0.0	0.0	0.0	8	1	1	4	1.0	1.0	1.88	1	7	6	4	7.0	3.86	1.88
13	0	37	9	9	7	7	4	4.0	2.4	1.88	0	0	0	0	0.0	0.0	0.0	8	1	1	4	1.0	1.0	1.88	1	7	7	4	7.0	4.0	1.88
14	2	37	20	9	7	7	4	4.0	2.4	1.88	0	0	0	0	0.0	0.0	0.0	8	1	1	4	1.0	1.0	1.88	1	7	7	4	7.0	4.0	1.88
15	0	37	8	9	7	7	4	4.0	2.4	1.88	0	0	0	0	0.0	0.0	0.0	8	1	1	4	1.0	1.0	1.88	1	7	7	4	7.0	4.0	1.88
16	1	42	14	10	8	7	4	4.5	2.59	1.81	0	0	0	0	0.0	0.0	0.0	9	1	1	4	1.0	1.0	1.81	1	8	7	4	8.0	4.38	1.81
17	4	46	46	10	9	8	4	5.0	2.94	1.78	0	0	0	0	0.0	0.0	0.0	9	1	1	4	1.0	1.0	1.78	1	9	8	4	9.0	4.89	1.78
18	1	51	18	11	10	9	4	5.5	3.2	1.74	0	0	0	0	0.0	0.0	0.0	10	1	1	4	1.0	1.0	1.74	1	10	9	4	10.0	5.4	1.74
19	5	65	74	15	11	10	8	6.0	3.16	2.11	0	0	0	0	0.0	0.0	0.0	14	1	1	8	1.0	1.0	2.11	1	11	10	8	11.0	5.91	2.11
20	1	70	30	16	12	11	8	6.5	3.41	2.05	0	0	0	0	0.0	0.0	0.0	15	1	1	8	1.0	1.0	2.05	1	12	11	8	12.0	6.42	2.05
21	0	70	19	16	12	12	8	6.5	3.44	2.05	0	0	0	0	0.0	0.0	0.0	15	1	1	8	1.0	1.0	2.05	1	12	12	8	12.0	6.5	2.05
22	2	75	46	17	13	12	8	7.0	3.66	2.0	0	0	0	0	0.0	0.0	0.0	16	1	1	8	1.0	1.0	2.0	1	13	12	8	13.0	6.92	2.0
23	3	80	70	18	14	13	8	7.5	3.9	1.96	0	0	0	0	0.0	0.0	0.0	17	1	1	8	1.0	1.0	1.96	1	14	13	8	14.0	7.43	1.96
24	0	80	45	18	14	14	8	7.5	3.94	1.96	0	0	0	0	0.0	0.0	0.0	17	1	1	8	1.0	1.0	1.96	1	14	14	8	14.0	7.5	1.96
25	0	80	17	18	14	14	8	7.5	3.94	1.96	0	0	0	0	0.0	0.0	0.0	17	1	1	8	1.0	1.0	1.96	1	14	14	8	14.0	7.5	1.96
26	2	84	41	18	15	14	8	8.0	4.25	1.93	0	0	0	0	0.0	0.0	0.0	17	1	1	8	1.0	1.0	1.93	1	15	14	8	15.0	7.93	1.93
