# SA-based monitor
# Formula: G∀x:w.(¬(q(x) ∧ ¬p(x)) ∨ (¬p(x) U ∃y:w.(t(x, y) ∧ ¬p(x))))
# Trace-length: 10000
# Size-lookup-table: 49
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo	L2#mons	L2M#rs	L2MLrs	L2MLobl	L2AV#rs	L2AVLrs	L2AVLo
1	1	3	49	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
2	4	17	55	3	4	1	4	4.0	1.0	1.17	0	0	0	0	0.0	0.0	0.0	2	4	1	0	4.0	1.0	0.0	1	4	1	4	4.0	1.0	3.5
3	5	25	38	4	5	2	4	4.5	1.13	0.63	0	0	0	0	0.0	0.0	0.0	3	4	1	0	4.0	1.0	0.0	1	5	2	4	5.0	1.5	2.5
4	1	33	10	5	6	3	4	5.0	1.2	0.43	0	0	0	0	0.0	0.0	0.0	4	4	1	0	4.0	1.0	0.0	1	6	3	4	6.0	2.0	2.17
5	2	33	30	5	6	3	4	5.0	1.2	0.43	0	0	0	0	0.0	0.0	0.0	4	4	1	0	4.0	1.0	0.0	1	6	3	4	6.0	2.0	2.17
6	0	33	5	5	6	3	4	5.0	1.2	0.43	0	0	0	0	0.0	0.0	0.0	4	4	1	0	4.0	1.0	0.0	1	6	3	4	6.0	2.0	2.17
7	2	41	8	6	7	4	4	5.5	1.25	0.33	0	0	0	0	0.0	0.0	0.0	5	4	1	0	4.0	1.0	0.0	1	7	4	4	7.0	2.5	2.0
8	2	41	10	6	7	4	4	5.5	1.25	0.33	0	0	0	0	0.0	0.0	0.0	5	4	1	0	4.0	1.0	0.0	1	7	4	4	7.0	2.5	2.0
9	1	49	7	7	8	5	4	6.0	1.29	0.27	0	0	0	0	0.0	0.0	0.0	6	4	1	0	4.0	1.0	0.0	1	8	5	4	8.0	3.0	1.9
10	1	49	8	7	8	5	4	6.0	1.29	0.27	0	0	0	0	0.0	0.0	0.0	6	4	1	0	4.0	1.0	0.0	1	8	5	4	8.0	3.0	1.9
11	1	49	9	7	8	5	4	6.0	1.29	0.27	0	0	0	0	0.0	0.0	0.0	6	4	1	0	4.0	1.0	0.0	1	8	5	4	8.0	3.0	1.9
12	2	63	7	9	9	6	4	6.5	1.28	0.24	0	0	0	0	0.0	0.0	0.0	8	4	1	0	4.0	1.0	0.0	1	9	6	4	9.0	3.5	2.17
13	0	63	4	9	9	6	4	6.5	1.28	0.24	0	0	0	0	0.0	0.0	0.0	8	4	1	0	4.0	1.0	0.0	1	9	6	4	9.0	3.5	2.17
14	2	63	8	9	9	6	4	6.5	1.28	0.24	0	0	0	0	0.0	0.0	0.0	8	4	1	0	4.0	1.0	0.0	1	9	6	4	9.0	3.5	2.17
15	0	63	3	9	9	6	4	6.5	1.28	0.24	0	0	0	0	0.0	0.0	0.0	8	4	1	0	4.0	1.0	0.0	1	9	6	4	9.0	3.5	2.17
16	1	71	6	10	10	7	4	7.0	1.3	0.21	0	0	0	0	0.0	0.0	0.0	9	4	1	0	4.0	1.0	0.0	1	10	7	4	10.0	4.0	2.07
17	4	75	26	10	11	8	4	7.5	1.35	0.2	0	0	0	0	0.0	0.0	0.0	9	4	1	0	4.0	1.0	0.0	1	11	8	4	11.0	4.5	2.0
18	1	83	11	11	12	9	4	8.0	1.36	0.18	0	0	0	0	0.0	0.0	0.0	10	4	1	0	4.0	1.0	0.0	1	12	9	4	12.0	5.0	1.94
19	5	109	26	15	13	10	8	8.5	1.3	0.17	0	0	0	0	0.0	0.0	0.0	14	4	1	0	4.0	1.0	0.0	1	13	10	8	13.0	5.5	2.5
20	1	117	14	16	14	11	8	9.0	1.31	0.15	0	0	0	0	0.0	0.0	0.0	15	4	1	0	4.0	1.0	0.0	1	14	11	8	14.0	6.0	2.41
21	0	117	11	16	14	11	8	9.0	1.31	0.15	0	0	0	0	0.0	0.0	0.0	15	4	1	0	4.0	1.0	0.0	1	14	11	8	14.0	6.0	2.41
22	2	125	19	17	15	12	8	9.5	1.32	0.14	0	0	0	0	0.0	0.0	0.0	16	4	1	0	4.0	1.0	0.0	1	15	12	8	15.0	6.5	2.33
23	3	133	24	18	16	13	8	10.0	1.33	0.13	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	16	13	8	16.0	7.0	2.27
24	0	133	12	18	16	13	8	10.0	1.33	0.13	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	16	13	8	16.0	7.0	2.27
25	0	133	11	18	16	13	8	10.0	1.33	0.13	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	16	13	8	16.0	7.0	2.27
26	2	137	18	18	17	14	8	10.5	1.36	0.12	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	17	14	8	17.0	7.5	2.21
27	1	138	11	18	17	15	8	10.5	1.39	0.12	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	17	15	8	17.0	8.0	2.19
28	0	138	9	18	17	15	8	10.5	1.39	0.12	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	17	15	8	17.0	8.0	2.19
29	0	138	9	18	17	15	8	10.5	1.39	0.12	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	17	15	8	17.0	8.0	2.19
30	0	138	8	18	17	15	8	10.5	1.39	0.12	0	0	0	0	0.0	0.0	0.0	17	4	1	0	4.0	1.0	0.0	1	17	15	8	17.0	8.0	2.19
31	4	143	30	19	17	14	8	10.5	1.34	0.12	0	0	0	0	0.0	0.0	0.0	18	4	1	0	4.0	1.0	0.0	1	17	14	8	17.0	7.5	2.36
32	2	157	21	21	18	15	8	11.0	1.33	0.12	0	0	0	0	0.0	0.0	0.0	20	4	1	0	4.0	1.0	0.0	1	18	15	8	18.0	8.0	2.43
33	2	159	17	21	18	15	8	11.0	1.33	0.12	0	0	0	0	0.0	0.0	0.0	20	4	1	0	4.0	1.0	0.0	1	18	15	8	18.0	8.0	2.57
34	2	153	18	20	18	15	8	11.0	1.35	0.12	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	18	15	8	18.0	8.0	2.43
35	5	153	34	20	18	15	8	11.0	1.35	0.12	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	18	15	8	18.0	8.0	2.43
36	0	153	10	20	18	15	8	11.0	1.35	0.12	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	18	15	8	18.0	8.0	2.43
37	3	159	22	20	19	16	8	11.5	1.38	0.13	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	19	16	8	19.0	8.5	2.5
38	1	159	15	20	19	16	8	11.5	1.38	0.13	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	19	16	8	19.0	8.5	2.5
39	2	159	19	20	19	16	8	11.5	1.38	0.13	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	19	16	8	19.0	8.5	2.5
40	1	159	15	20	19	16	8	11.5	1.38	0.13	0	0	0	0	0.0	0.0	0.0	19	4	1	0	4.0	1.0	0.0	1	19	16	8	19.0	8.5	2.5
41	4	167	29	21	20	17	8	12.0	1.38	0.12	0	0	0	0	0.0	0.0	0.0	20	4	1	0	4.0	1.0	0.0	1	20	17	8	20.0	9.0	2.44
42	1	175	17	22	21	18	8	12.5	1.39	0.11	0	0	0	0	0.0	0.0	0.0	21	4	1	0	4.0	1.0	0.0	1	21	18	8	21.0	9.5	2.39
43	4	181	30	22	22	19	6	13.0	1.41	0.11	0	0	0	0	0.0	0.0	0.0	21	4	1	0	4.0	1.0	0.0	1	22	19	6	22.0	10.0	2.45
44	1	181	20	22	22	19	6	13.0	1.41	0.11	0	0	0	0	0.0	0.0	0.0	21	4	1	0	4.0	1.0	0.0	1	22	19	6	22.0	10.0	2.45
45	0	181	15	22	22	19	6	13.0	1.41	0.11	0	0	0	0	0.0	0.0	0.0	21	4	1	0	4.0	1.0	0.0	1	22	19	6	22.0	10.0	2.45
46	2	177	29	22	22	19	6	13.0	1.41	0.1	0	0	0	0	0.0	0.0	0.0	21	4	1	0	4.0	1.0	0.0	1	22	19	6	22.0	10.0	2.24
47	5	181	44	22	23	20	4	13.5	1.43	0.1	0	0	0	0	0.0	0.0	0.0	21	4	1	0	4.0	1.0	0.0	1	23	20	4	23.0	10.5	2.2
48	3	189	27	23	24	21	4	14.0	1.43	0.09	0	0	0	0	0.0	0.0	0.0	22	4	1	0	4.0	1.0	0.0	1	24	21	4	24.0	11.0	2.17
49	0	189	15	23	24	21	4	14.0	1.43	0.09	0	0	0	0	0.0	0.0	0.0	22	4	1	0	4.0	1.0	0.0	1	24	21	4	24.0	11.0	2.17
50	1	189	18	23	24	21	4	14.0	1.43	0.09	0	0	0	0	0.0	0.0	0.0	22	4	1	0	4.0	1.0	0.0	1	24	21	4	24.0	11.0	2.17
51	2	197	22	24	25	22	4	14.5	1.44	0.09	0	0	0	0	0.0	0.0	0.0	23	4	1	0	4.0	1.0	0.0	1	25	22	4	25.0	11.5	2.14
52	0	197	10	24	25	22	4	14.5	1.44	0.09	0	0	0	0	0.0	0.0	0.0	23	4	1	0	4.0	1.0	0.0	1	25	22	4	25.0	11.5	2.14
53	0	197	11	24	25	22	4	14.5	1.44	0.09	0	0	0	0	0.0	0.0	0.0	23	4	1	0	4.0	1.0	0.0	1	25	22	4	25.0	11.5	2.14
54	4	211	24	26	26	23	4	15.0	1.42	0.08	0	0	0	0	0.0	0.0	0.0	25	4	1	0	4.0	1.0	0.0	1	26	23	4	26.0	12.0	2.2
55	4	215	25	27	26	23	4	15.0	1.41	0.08	0	0	0	0	0.0	0.0	0.0	26	4	1	0	4.0	1.0	0.0	1	26	23	4	26.0	12.0	2.2
56	2	219	17	27	27	24	4	15.5	1.43	0.08	0	0	0	0	0.0	0.0	0.0	26	4	1	0	4.0	1.0	0.0	1	27	24	4	27.0	12.5	2.17
57	0	219	11	27	27	24	4	15.5	1.43	0.08	0	0	0	0	0.0	0.0	0.0	26	4	1	0	4.0	1.0	0.0	1	27	24	4	27.0	12.5	2.17
58	3	205	24	26	25	24	4	14.5	1.44	0.08	0	0	0	0	0.0	0.0	0.0	25	4	1	0	4.0	1.0	0.0	1	25	24	4	25.0	12.5	2.03
59	2	205	19	26	25	24	4	14.5	1.44	0.08	0	0	0	0	0.0	0.0	0.0	25	4	1	0	4.0	1.0	0.0	1	25	24	4	25.0	12.5	2.03
60	4	196	25	25	24	22	4	14.0	1.42	0.08	0	0	0	0	0.0	0.0	0.0	24	4	1	0	4.0	1.0	0.0	1	24	22	4	24.0	11.5	2.06
61	1	204	16	26	25	23	4	14.5	1.42	0.08	0	0	0	0	0.0	0.0	0.0	25	4	1	0	4.0	1.0	0.0	1	25	23	4	25.0	12.0	2.04
62	5	209	31	27	25	22	6	14.5	1.39	0.08	0	0	0	0	0.0	0.0	0.0	26	4	1	0	4.0	1.0	0.0	1	25	22	6	25.0	11.5	2.14
63	0	209	10	27	25	22	6	14.5	1.39	0.08	0	0	0	0	0.0	0.0	0.0	26	4	1	0	4.0	1.0	0.0	1	25	22	6	25.0	11.5	2.14
64	4	229	26	30	26	23	6	15.0	1.37	0.08	0	0	0	0	0.0	0.0	0.0	29	4	1	0	4.0	1.0	0.0	1	26	23	6	26.0	12.0	2.28
65	4	237	32	31	27	24	6	15.5	1.37	0.07	0	0	0	0	0.0	0.0	0.0	30	4	1	0	4.0	1.0	0.0	1	27	24	6	27.0	12.5	2.25
66	1	238	16	31	27	25	6	15.5	1.39	0.07	0	0	0	0	0.0	0.0	0.0	30	4	1	0	4.0	1.0	0.0	1	27	25	6	27.0	13.0	2.24
67	4	252	23	33	28	26	6	16.0	1.38	0.07	0	0	0	0	0.0	0.0	0.0	32	4	1	0	4.0	1.0	0.0	1	28	26	6	28.0	13.5	2.29
68	2	260	19	34	29	27	6	16.5	1.38	0.07	0	0	0	0	0.0	0.0	0.0	33	4	1	0	4.0	1.0	0.0	1	29	27	6	29.0	14.0	2.26
69	2	255	17	33	29	28	6	16.5	1.41	0.07	0	0	0	0	0.0	0.0	0.0	32	4	1	0	4.0	1.0	0.0	1	29	28	6	29.0	14.5	2.17
70	4	261	27	34	29	28	6	16.5	1.4	0.07	0	0	0	0	0.0	0.0	0.0	33	4	1	0	4.0	1.0	0.0	1	29	28	6	29.0	14.5	2.24
71	1	261	15	34	29	28	6	16.5	1.4	0.07	0	0	0	0	0.0	0.0	0.0	33	4	1	0	4.0	1.0	0.0	1	29	28	6	29.0	14.5	2.24
72	2	269	18	35	30	29	6	17.0	1.4	0.06	0	0	0	0	0.0	0.0	0.0	34	4	1	0	4.0	1.0	0.0	1	30	29	6	30.0	15.0	2.22
